Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HC,AC,HF,AF,HY,AY,HR,AR,TotalCorners,TotalYellowCards,TotalGoals,BothTeamsScored,2ndHalfHomeGoals,2ndHalfAwayGoals,2ndHalfTotalGoals,HomeForm,AwayForm
SP1,2019-08-25,Alaves,Espanol,0,0,D,0,0,D,10,5,2,1,3,5,13,10,3,1,0,0,8,4,0,0,0,0,0,3,0
SP1,2019-08-25,Mallorca,Sociedad,0,1,A,0,0,D,12,12,4,4,5,5,16,12,1,2,0,0,10,3,1,0,0,1,1,3,1
SP1,2019-08-25,Leganes,Ath Madrid,0,1,A,0,0,D,10,6,4,4,9,4,12,13,4,5,0,0,13,9,1,0,0,1,1,0,3
SP1,2019-08-25,Barcelona,Betis,5,2,H,1,1,D,20,4,7,3,11,0,14,12,1,1,0,0,11,2,7,1,4,1,5,0,0
SP1,2019-08-30,Sevilla,Celta,1,1,D,0,0,D,19,2,5,1,9,1,16,9,4,2,0,0,10,6,2,1,1,1,2,6,3
SP1,2019-08-30,Ath Bilbao,Sociedad,2,0,H,2,0,H,15,2,5,2,3,0,17,17,2,3,0,0,3,5,2,0,0,0,0,4,4
SP1,2019-08-31,Osasuna,Barcelona,2,2,D,1,0,H,15,8,5,4,3,2,16,9,3,4,0,0,5,7,4,1,1,2,3,4,3
SP1,2019-08-31,Getafe,Alaves,1,1,D,1,1,D,15,5,1,1,4,2,11,17,3,1,0,0,6,4,2,1,0,0,0,1,4
SP1,2019-08-31,Levante,Valladolid,2,0,H,0,0,D,16,15,3,4,6,6,9,10,2,2,0,0,12,4,2,0,2,0,2,3,4
SP1,2019-08-31,Betis,Leganes,2,1,H,0,0,D,17,19,5,7,11,8,14,15,4,2,0,0,19,6,3,1,2,1,3,0,0
SP1,2019-09-01,Valencia,Mallorca,2,0,H,1,0,H,9,12,4,1,7,4,6,19,0,1,0,0,11,1,2,0,1,0,1,1,3
SP1,2019-09-01,Ath Madrid,Eibar,3,2,H,1,2,A,7,6,3,2,1,1,9,15,0,3,0,0,2,3,5,1,2,0,2,6,1
SP1,2019-09-01,Espanol,Granada,0,3,A,0,1,A,15,14,3,6,8,6,6,13,2,3,0,0,14,5,3,0,0,2,2,1,1
SP1,2019-09-01,Villarreal,Real Madrid,2,2,D,1,1,D,10,17,5,5,1,8,8,14,1,4,0,1,9,5,4,1,1,1,2,1,4
SP1,2019-09-13,Mallorca,Ath Bilbao,0,0,D,0,0,D,10,11,1,5,4,6,15,18,4,3,0,0,10,7,0,0,0,0,0,3,7
SP1,2019-09-14,Real Madrid,Levante,3,2,H,3,0,H,25,8,11,3,9,6,13,10,2,2,0,0,15,4,5,1,0,2,2,5,6
SP1,2019-09-14,Leganes,Villarreal,0,3,A,0,2,A,10,8,4,4,8,6,14,11,2,0,0,0,14,2,3,0,0,1,1,0,2
SP1,2019-09-14,Sociedad,Ath Madrid,2,0,H,0,0,D,14,12,5,2,5,5,13,10,1,3,0,0,10,4,2,0,2,0,2,4,9
SP1,2019-09-14,Barcelona,Valencia,5,2,H,2,1,H,17,9,10,3,2,5,11,11,1,4,0,0,7,5,7,1,3,1,4,4,4
SP1,2019-09-15,Eibar,Espanol,1,2,A,0,0,D,11,7,1,2,7,2,14,16,2,4,0,1,9,6,3,1,1,2,3,1,1
SP1,2019-09-15,Alaves,Sevilla,0,1,A,0,1,A,7,19,0,7,2,6,13,7,5,5,0,0,8,10,1,0,0,0,0,5,7
SP1,2019-09-15,Celta,Granada,0,2,A,0,1,A,4,13,0,3,3,5,11,13,4,2,2,0,8,6,2,0,0,1,1,4,4
SP1,2019-09-15,Valladolid,Osasuna,1,1,D,0,0,D,11,17,1,5,10,6,9,10,0,1,0,0,16,1,2,1,1,1,2,4,5
SP1,2019-09-15,Betis,Getafe,1,1,D,0,1,A,7,12,2,4,5,6,11,28,3,6,2,0,11,9,2,1,1,0,1,3,2
SP1,2019-09-20,Osasuna,Betis,0,0,D,0,0,D,12,7,6,2,9,4,15,9,1,2,0,0,13,3,0,0,0,0,0,6,4
SP1,2019-09-21,Villarreal,Valladolid,2,0,H,0,0,D,18,7,6,3,4,8,12,8,2,1,0,0,12,3,2,0,2,0,2,5,5
SP1,2019-09-21,Levante,Eibar,0,0,D,0,0,D,13,18,4,4,6,7,9,11,0,2,0,0,13,2,0,0,0,0,0,6,1
SP1,2019-09-21,Ath Madrid,Celta,0,0,D,0,0,D,20,6,5,3,13,3,14,12,3,5,0,0,16,8,0,0,0,0,0,9,4
SP1,2019-09-21,Granada,Barcelona,2,0,H,1,0,H,9,8,4,1,4,5,22,12,3,2,0,0,9,5,2,0,1,0,1,7,7
SP1,2019-09-22,Getafe,Mallorca,4,2,H,2,0,H,14,7,5,3,7,2,15,17,4,5,0,0,9,9,6,1,2,2,4,3,4
SP1,2019-09-22,Espanol,Sociedad,1,3,A,0,2,A,17,10,3,5,5,7,7,12,1,0,0,0,12,1,4,1,1,1,2,4,7
SP1,2019-09-22,Valencia,Leganes,1,1,D,1,1,D,13,13,4,4,6,6,14,23,3,4,0,0,12,7,2,1,0,0,0,4,0
SP1,2019-09-22,Ath Bilbao,Alaves,2,0,H,1,0,H,13,5,4,1,3,2,11,19,1,4,0,0,5,5,2,0,1,0,1,8,5
SP1,2019-09-22,Sevilla,Real Madrid,0,1,A,0,0,D,9,7,0,4,9,6,16,15,3,2,0,0,15,5,1,0,0,1,1,10,8
SP1,2019-09-24,Valladolid,Granada,1,1,D,1,1,D,9,6,5,4,6,3,21,18,3,2,0,0,9,5,2,1,0,0,0,5,10
SP1,2019-09-24,Betis,Levante,3,1,H,1,1,D,17,17,5,3,5,2,11,11,2,2,0,0,7,4,4,1,2,0,2,5,7
SP1,2019-09-24,Barcelona,Villarreal,2,1,H,2,1,H,8,11,4,3,6,5,4,13,4,2,0,0,11,6,3,1,0,0,0,7,8
SP1,2019-09-25,Leganes,Ath Bilbao,1,1,D,0,0,D,7,9,3,2,4,5,11,12,0,1,0,0,9,1,2,1,1,1,2,1,11
SP1,2019-09-25,Mallorca,Ath Madrid,0,2,A,0,1,A,9,13,3,3,8,5,8,15,3,5,0,1,13,8,2,0,0,1,1,4,10
SP1,2019-09-25,Valencia,Getafe,3,3,D,3,1,H,8,18,4,5,4,5,14,26,1,4,0,0,9,5,6,1,0,2,2,5,6
SP1,2019-09-25,Real Madrid,Osasuna,2,0,H,1,0,H,15,4,4,0,7,5,13,13,2,2,0,0,12,4,2,0,1,0,1,11,7
SP1,2019-09-26,Eibar,Sevilla,3,2,H,0,2,A,11,7,4,4,3,1,11,19,3,4,0,0,4,7,5,1,3,0,3,2,10
SP1,2019-09-26,Celta,Espanol,1,1,D,0,0,D,14,10,3,4,6,4,5,17,2,5,0,0,10,7,2,1,1,1,2,5,4
SP1,2019-09-26,Sociedad,Alaves,3,0,H,3,0,H,21,5,7,0,5,3,7,20,1,4,0,1,8,5,3,0,0,0,0,10,5
SP1,2019-09-27,Villarreal,Betis,5,1,H,1,0,H,17,11,10,6,3,7,13,8,2,2,0,0,10,4,6,1,4,1,5,7,8
SP1,2019-09-28,Ath Bilbao,Valencia,0,1,A,0,1,A,14,10,3,6,7,7,14,12,2,5,0,0,14,7,1,0,0,0,0,9,5
SP1,2019-09-28,Getafe,Barcelona,0,2,A,0,1,A,8,10,1,6,4,1,23,17,4,4,0,1,5,8,2,0,0,1,1,7,10
