Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HC,AC,HF,AF,HY,AY,HR,AR,TotalCorners,TotalYellowCards,TotalGoals,BothTeamsScored,2ndHalfHomeGoals,2ndHalfAwayGoals,2ndHalfTotalGoals,HomeForm,AwayForm,HomeH2HResults,AwayH2HResults,HomeH2HGD,AwayH2HGD
SP1,2022-08-21,Ath Madrid,Villarreal,0,2,A,0,0,D,13,19,5,5,5,6,8,11,2,3,1,0,11,5,2,0,0,2,2,3,3,0,0,0,0
SP1,2022-08-21,Sociedad,Barcelona,1,4,A,1,1,D,10,15,5,7,3,6,16,9,2,1,0,0,9,3,5,1,0,3,3,3,1,0,0,0,0
SP1,2022-08-22,Elche,Almeria,1,1,D,1,1,D,13,12,3,7,6,5,12,16,1,4,0,1,11,5,2,1,0,0,0,0,0,0,0,0,0
SP1,2022-08-22,Girona,Getafe,3,1,H,1,0,H,12,7,6,3,5,2,16,18,3,6,0,1,7,9,4,1,2,1,3,0,0,0,0,0,0
SP1,2022-08-26,Girona,Celta,0,1,A,0,0,D,11,11,3,6,2,4,16,13,2,1,0,0,6,3,1,0,0,1,1,3,1,0,0,0,0
SP1,2022-08-26,Betis,Osasuna,1,0,H,1,0,H,7,12,1,2,2,4,9,21,0,3,1,0,6,3,1,0,0,0,0,6,6,0,0,0,0
SP1,2022-08-27,Elche,Sociedad,0,1,A,0,1,A,12,9,5,5,4,6,13,18,3,3,0,0,10,6,1,0,0,0,0,1,3,0,0,0,0
SP1,2022-08-27,Vallecano,Mallorca,0,2,A,0,1,A,15,9,0,4,7,3,11,18,1,3,0,0,10,4,2,0,0,1,1,4,1,0,0,0,0
SP1,2022-08-27,Almeria,Sevilla,2,1,H,1,1,D,11,13,5,5,5,2,18,11,5,8,0,0,7,13,3,1,1,0,1,1,1,0,0,0,0
SP1,2022-08-28,Getafe,Villarreal,0,0,D,0,0,D,8,11,2,6,1,4,11,19,1,5,0,0,5,6,0,0,0,0,0,0,6,0,0,0,0
SP1,2022-08-28,Barcelona,Valladolid,4,0,H,2,0,H,24,8,9,3,14,4,9,8,0,3,0,0,18,3,4,0,2,0,2,4,1,0,0,0,0
SP1,2022-08-28,Espanol,Real Madrid,1,3,A,1,1,D,15,19,4,6,7,7,15,12,0,0,1,0,14,0,4,1,0,2,2,1,6,0,0,0,0
SP1,2022-08-29,Cadiz,Ath Bilbao,0,4,A,0,1,A,9,20,3,8,0,6,18,4,2,1,0,0,6,3,4,0,0,3,3,0,4,0,0,0,0
SP1,2022-08-29,Valencia,Ath Madrid,0,1,A,0,0,D,12,13,2,7,6,2,15,17,4,3,0,0,8,7,1,0,0,1,1,3,3,0,0,0,0
SP1,2022-09-02,Celta,Cadiz,3,0,H,0,0,D,9,7,5,0,2,2,13,23,1,2,0,0,4,3,3,0,3,0,3,4,0,0,0,0,0
SP1,2022-09-03,Mallorca,Girona,1,1,D,0,0,D,10,10,4,4,6,3,23,9,4,2,0,0,9,6,2,1,1,1,2,4,3,0,0,0,0
SP1,2022-09-03,Real Madrid,Betis,2,1,H,1,1,D,22,8,4,4,9,2,8,12,0,1,0,0,11,1,3,1,1,0,1,9,9,0,0,0,0
SP1,2022-09-03,Sociedad,Ath Madrid,1,1,D,0,1,A,12,15,5,7,7,7,18,13,5,4,0,0,14,9,2,1,1,0,1,6,6,0,0,0,0
