Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HC,AC,HF,AF,HY,AY,HR,AR,TotalCorners,TotalYellowCards,TotalGoals,BothTeamsScored,2ndHalfHomeGoals,2ndHalfAwayGoals,2ndHalfTotalGoals,HomeForm,AwayForm
SP1,2024-08-15,Ath Bilbao,Getafe,1,1,D,1,0,H,7,9,4,2,5,6,15,12,4,1,0,0,11,5,2,1,0,1,1,0,0
SP1,2024-08-15,Betis,Girona,1,1,D,1,0,H,19,13,4,2,4,4,11,7,2,0,0,0,8,2,2,1,0,1,1,0,0
SP1,2024-08-16,Celta,Alaves,2,1,H,0,1,A,6,10,4,2,3,3,8,23,3,2,0,0,6,5,3,1,2,0,2,0,0
SP1,2024-08-16,Las Palmas,Sevilla,2,2,D,1,1,D,13,16,5,5,6,3,12,13,0,0,0,0,9,0,4,1,1,1,2,0,0
SP1,2024-08-17,Osasuna,Leganes,1,1,D,0,1,A,16,10,5,4,6,4,14,12,3,2,0,0,10,5,2,1,1,0,1,0,0
SP1,2024-08-17,Valencia,Barcelona,1,2,A,1,1,D,6,18,1,8,3,8,11,13,2,3,0,0,11,5,3,1,0,1,1,0,0
SP1,2024-08-18,Sociedad,Vallecano,1,2,A,0,0,D,11,12,5,5,10,5,14,21,2,4,0,0,15,6,3,1,1,2,3,0,0
SP1,2024-08-18,Mallorca,Real Madrid,1,1,D,0,1,A,12,13,5,4,8,7,11,6,1,0,0,1,15,1,2,1,1,0,1,0,0
SP1,2024-08-19,Valladolid,Espanol,1,0,H,1,0,H,12,10,3,2,3,2,15,8,2,2,0,0,5,4,1,0,0,0,0,0,0
SP1,2024-08-19,Villarreal,Ath Madrid,2,2,D,2,2,D,8,10,3,5,2,3,6,10,1,3,0,0,5,4,4,1,0,0,0,0,0
SP1,2024-08-23,Celta,Valencia,3,1,H,2,1,H,7,13,5,5,4,7,9,11,3,0,0,0,11,3,4,1,1,0,1,3,0
